id	path	lesson	concept	explicit_loops	target_loops	visual	required_features	status
text-capabilities	probes/text_capabilities.mlpl	probes	upstream-blocker-probe	0	0	ascii	current	runnable
rock-paper-scissors	demos/01-magmas/rock_paper_scissors.mlpl	01-magmas	closed-binary-operation	0	0	ascii,svg	current	runnable
lizard-spock	demos/02-rpsls/lizard_spock.mlpl	02-rpsls	function-table-graph-views	0	0	ascii,svg	current	runnable
escaping-the-set	demos/03-closure/escaping_the_set.mlpl	03-closure	closure-counterexample	0	0	ascii,svg	current	runnable
bracketing	demos/04-associativity/bracketing.mlpl	04-associativity	associativity-cube	0	0	ascii,svg	current	runnable
adjoining-an-identity	demos/05-semigroups/adjoining_an_identity.mlpl	05-semigroups	associative-without-identity	0	0	ascii,svg	current	runnable
identity-cross	demos/06-monoids/identity_cross.mlpl	06-monoids	identity-discovered-and-unique	0	0	ascii,svg	current	runnable
undoing	demos/07-inverses/undoing.mlpl	07-inverses	inverses-relative-to-an-identity	0	0	ascii,svg	current	runnable
latin-square	demos/08-groups/latin_square.mlpl	08-groups	group-as-latin-square	0	0	ascii,svg	current	runnable
symmetry	demos/09-commutativity/symmetry.mlpl	09-commutativity	commutativity-is-not-a-rung	0	0	ascii,svg,page	current	runnable
all-small-magmas	demos/10-enumeration/all_small_magmas.mlpl	10-enumeration	batched-exhaustive-classification	0	0	ascii,svg	current	runnable
same-up-to-naming	demos/12-isomorphism/same_up_to_naming.mlpl	12-isomorphism	permutation-equivalence	0	0	ascii,svg	current	runnable
structure-preserving	demos/13-homomorphisms/structure_preserving.mlpl	13-homomorphisms	homomorphism-check	0	0	ascii,svg	current	runnable
magma-rps-web	demos/web/magma_rps.mlpl	web	cayley-table-builtin-heatmap	0	0	svg	current	runnable
latin-square-web	demos/web/latin_square.mlpl	web	animated-latin-square-via-life	0	0	svg	current	runnable
rpsls-pentagon-web	demos/web/rpsls_pentagon.mlpl	web	dominance-pentagram	0	0	svg	current	runnable
latin-is-not-enough	demos/11-quasigroups/latin_is_not_enough.mlpl	11-quasigroups	quasigroups-loops-and-groups	0	0	ascii,svg	current	runnable
